ogc_fid,pxlval,IDN,ID_MJ,MPA_NAME,COUNTRY,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y,int_area_m2_2016
44864.00000000000,"1","59","191",TBCA,Tanzania,Tanzania,Marine Protected Area,Proposed,National,Transboundary,Not available,Not described,Not described,Undetermined,,"0",739.16000000000,216.06500000000,39.26410000000,-4.91088000000,2422.409
44867.00000000000,"1","59","191",TBCA,Tanzania,Tanzania,Marine Protected Area,Proposed,National,Transboundary,Not available,Not described,Not described,Undetermined,,"0",739.16000000000,216.06500000000,39.26410000000,-4.91088000000,4844.812
44867.00000000000,"1","38","77",Ulenge Island,Tanzania,Tanzania,Marine Reserve,Working,National,National,"2010",No-take area,Marine Parks and Reserves Unit (MPRU),II,,"3",3.13202000000,7.21946000000,39.16280000000,-5.00777000000,3640.512
44869.00000000000,"1","59","191",TBCA,Tanzania,Tanzania,Marine Protected Area,Proposed,National,Transboundary,Not available,Not described,Not described,Undetermined,,"0",739.16000000000,216.06500000000,39.26410000000,-4.91088000000,20.731
44869.00000000000,"1","38","77",Ulenge Island,Tanzania,Tanzania,Marine Reserve,Working,National,National,"2010",No-take area,Marine Parks and Reserves Unit (MPRU),II,,"3",3.13202000000,7.21946000000,39.16280000000,-5.00777000000,62376.864
44871.00000000000,"1","59","191",TBCA,Tanzania,Tanzania,Marine Protected Area,Proposed,National,Transboundary,Not available,Not described,Not described,Undetermined,,"0",739.16000000000,216.06500000000,39.26410000000,-4.91088000000,255.999
44883.00000000000,"1","59","191",TBCA,Tanzania,Tanzania,Marine Protected Area,Proposed,National,Transboundary,Not available,Not described,Not described,Undetermined,,"0",739.16000000000,216.06500000000,39.26410000000,-4.91088000000,1899.630
44883.00000000000,"1","38","77",Ulenge Island,Tanzania,Tanzania,Marine Reserve,Working,National,National,"2010",No-take area,Marine Parks and Reserves Unit (MPRU),II,,"3",3.13202000000,7.21946000000,39.16280000000,-5.00777000000,719447.126
44886.00000000000,"1","38","77",Ulenge Island,Tanzania,Tanzania,Marine Reserve,Working,National,National,"2010",No-take area,Marine Parks and Reserves Unit (MPRU),II,,"3",3.13202000000,7.21946000000,39.16280000000,-5.00777000000,2422.348
44888.00000000000,"1","51","90",Pemba Channel,Tanzania,Zanzibar,Conservation Area,Working,National,National,"2005",Multiple,Marine Conservation Unit (MCU),Undetermined,,"826",761.96000000000,410.12800000000,39.63120000000,-5.20384000000,322.206
44897.00000000000,"1","59","191",TBCA,Tanzania,Tanzania,Marine Protected Area,Proposed,National,Transboundary,Not available,Not described,Not described,Undetermined,,"0",739.16000000000,216.06500000000,39.26410000000,-4.91088000000,27626.946
44907.00000000000,"1","59","191",TBCA,Tanzania,Tanzania,Marine Protected Area,Proposed,National,Transboundary,Not available,Not described,Not described,Undetermined,,"0",739.16000000000,216.06500000000,39.26410000000,-4.91088000000,655.238
44910.00000000000,"1","51","90",Pemba Channel,Tanzania,Zanzibar,Conservation Area,Working,National,National,"2005",Multiple,Marine Conservation Unit (MCU),Undetermined,,"826",761.96000000000,410.12800000000,39.63120000000,-5.20384000000,258.185
44923.00000000000,"1","51","90",Pemba Channel,Tanzania,Zanzibar,Conservation Area,Working,National,National,"2005",Multiple,Marine Conservation Unit (MCU),Undetermined,,"826",761.96000000000,410.12800000000,39.63120000000,-5.20384000000,991.310
44924.00000000000,"1","51","90",Pemba Channel,Tanzania,Zanzibar,Conservation Area,Working,National,National,"2005",Multiple,Marine Conservation Unit (MCU),Undetermined,,"826",761.96000000000,410.12800000000,39.63120000000,-5.20384000000,589.840
