IDN,ID_MJ,MPA_NAME,COUNTRY,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y,ogc_fid,pxlval,area_m2,int_aream2_2016
"1","150",Wasini,Kenya,Kenya,No Take Zone,Working,Local,LMMA,"2008",No-take area,"Ministry of Blue Economy, Marine Resources, Fisheries and Shipping",II,Overlaps TBCA,"0",0.42058700000,5.22033000000,39.35880000000,-4.65595000000,365059.00000000000,"1",2367835.9232,2754.4572
"5","155",Kibuyuni,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,"2010",Gear Restriction,"Ministry of Blue Economy, Marine Resources, Fisheries and Shipping",IV,Overlaps TBCA,"0",0.28989900000,3.48480000000,39.33100000000,-4.64427000000,365037.00000000000,"1",5828540.6886,68936.6627
"5","155",Kibuyuni,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,"2010",Gear Restriction,"Ministry of Blue Economy, Marine Resources, Fisheries and Shipping",IV,Overlaps TBCA,"0",0.28989900000,3.48480000000,39.33100000000,-4.64427000000,365034.00000000000,"1",52714.6216,5589.8875
"13","165",Rewa & Kivonga,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,"2015",Gear Restriction,,Undetermined,,"2",2.37224000000,9.87685000000,41.12110000000,-2.12280000000,562765.00000000000,"1",72894.2878,72894.2878
"13","165",Rewa & Kivonga,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,"2015",Gear Restriction,,Undetermined,,"2",2.37224000000,9.87685000000,41.12110000000,-2.12280000000,562782.00000000000,"1",21845325.1742,766581.7481
"13","165",Rewa & Kivonga,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,"2015",Gear Restriction,,Undetermined,,"2",2.37224000000,9.87685000000,41.12110000000,-2.12280000000,562761.00000000000,"1",10934.1500,10556.5759
"20","172",Kijiwe cha Nyuni,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,Proposed,Gear Restriction,French Ministry of Ecological and Inclusive Transition,Undetermined,,"2",2.05352000000,5.71430000000,41.09100000000,-2.14613000000,562784.00000000000,"1",7289.3135,2490.4500
"20","172",Kijiwe cha Nyuni,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,Proposed,Gear Restriction,French Ministry of Ecological and Inclusive Transition,Undetermined,,"2",2.05352000000,5.71430000000,41.09100000000,-2.14613000000,562785.00000000000,"1",2383015.3671,7205.3341
"21","173",Iweni,Kenya,Kenya,No Take Zone,Working,Local,LMMA,"2017",No-take area,"Ministry of Environment, Energy and Climate Change",Undetermined,,"4",3.64308000000,7.76956000000,41.01100000000,-2.21256000000,562797.00000000000,"1",3725309.2470,557377.3750
"22","174",Koyo,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,Proposed,Gear Restriction,Seychelles Island Foundation,Ib,Overlaps Upulu wa Punda,"8",8.47922000000,13.63320000000,41.02780000000,-2.08679000000,562736.00000000000,"1",1822.4018,60.8862
"22","174",Koyo,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,Proposed,Gear Restriction,Seychelles Island Foundation,Ib,Overlaps Upulu wa Punda,"8",8.47922000000,13.63320000000,41.02780000000,-2.08679000000,562760.00000000000,"1",18138989.9191,3314959.5302
