ogc_fid,pxlval,ID,OBJECTID_1,EEZ,Country,Sovereign,Remarks,Sov_ID,EEZ_ID,ISO_3digit,MRGID,Date_chang,Area_m2,Longitude,Latitude,join_aream2
125217.00000000000,"1","28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,3567.0268
125218.00000000000,"1","28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,19024.0727
125219.00000000000,"1","28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,60638.3069
125220.00000000000,"1","28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,17239.7271
287888.00000000000,"1","28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,44696.5607
287889.00000000000,"1","28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,38736.7119
311333.00000000000,"1","28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,23768.6492
311334.00000000000,"1","28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,594.1872
311335.00000000000,"1","28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,25549.9588
311336.00000000000,"1","28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,594.1764
311337.00000000000,"1","28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,1782.5253
311338.00000000000,"1","28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,165774.8483
311339.00000000000,"1","28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,39807.3117
