WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,layer,path,area_m2PAs,ogc_fid,pxlval,int_area_m2,clipped_area_m2
555621996.000000000000000,"555621996","1",Malindi,Malindi,Marine National Reserve,Marine National Reserve,National,Not Reported,Not Applicable,"2",213.000000000000000,147.181169247095994,213.000000000000000,151.908433746424009,Not Reported,0.000000000000000,Designated,"1968",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,5635902.949,82153.00000000000,"1",1693.3991,1693.3991
19566.000000000000000,"19566","1",Watamu,Watamu,Marine National Park,Marine National Park,National,Not Reported,Not Applicable,"1",32.000000000000000,11.100955794650600,32.000000000000000,31.874889901713399,Not Reported,0.000000000000000,Designated,"1968",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_0/WDPA_Oct2021_Public_shp-polygons.shp,22830216.920,82150.00000000000,"1",4458680.4455,4401908.3226
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322643.00000000000,"1",1215.0371,1215.0371
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322646.00000000000,"1",686.8413,686.8413
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322640.00000000000,"1",1215.0394,1215.0394
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322641.00000000000,"1",2430.0783,2430.0783
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322642.00000000000,"1",21870.6864,21870.6864
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322635.00000000000,"1",387117.7203,315012.3884
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322637.00000000000,"1",607.5208,607.5208
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322638.00000000000,"1",225759.6390,225759.6390
