IDN,ID_MJ,MPA_NAME,COUNTRY,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y,ogc_fid,pxlval,area_m2,int_2010_aream2
"1","150",Wasini,Kenya,Kenya,No Take Zone,Working,Local,LMMA,"2008",No-take area,"Ministry of Blue Economy, Marine Resources, Fisheries and Shipping",II,Overlaps TBCA,"0",0.42058700000,5.22033000000,39.35880000000,-4.65595000000,1.00000000000,"1",2381165.5165,3106.969
"5","155",Kibuyuni,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,"2010",Gear Restriction,"Ministry of Blue Economy, Marine Resources, Fisheries and Shipping",IV,Overlaps TBCA,"0",0.28989900000,3.48480000000,39.33100000000,-4.64427000000,1.00000000000,"1",17614430.7582,81517.293
"5","155",Kibuyuni,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,"2010",Gear Restriction,"Ministry of Blue Economy, Marine Resources, Fisheries and Shipping",IV,Overlaps TBCA,"0",0.28989900000,3.48480000000,39.33100000000,-4.64427000000,1.00000000000,"1",52714.6216,5589.888
"13","165",Rewa & Kivonga,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,"2015",Gear Restriction,,Undetermined,,"2",2.37224000000,9.87685000000,41.12110000000,-2.12280000000,1.00000000000,"1",22454598.7316,987639.553
"20","172",Kijiwe cha Nyuni,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,Proposed,Gear Restriction,French Ministry of Ecological and Inclusive Transition,Undetermined,,"2",2.05352000000,5.71430000000,41.09100000000,-2.14613000000,1.00000000000,"1",7289.3135,2490.450
"20","172",Kijiwe cha Nyuni,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,Proposed,Gear Restriction,French Ministry of Ecological and Inclusive Transition,Undetermined,,"2",2.05352000000,5.71430000000,41.09100000000,-2.14613000000,1.00000000000,"1",2461983.2239,7669.113
"21","173",Iweni,Kenya,Kenya,No Take Zone,Working,Local,LMMA,"2017",No-take area,"Ministry of Environment, Energy and Climate Change",Undetermined,,"4",3.64308000000,7.76956000000,41.01100000000,-2.21256000000,1.00000000000,"1",3775117.5185,580552.850
"22","174",Koyo,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,Proposed,Gear Restriction,Seychelles Island Foundation,Ib,Overlaps Upulu wa Punda,"8",8.47922000000,13.63320000000,41.02780000000,-2.08679000000,1.00000000000,"1",41307.7599,41307.760
"22","174",Koyo,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,Proposed,Gear Restriction,Seychelles Island Foundation,Ib,Overlaps Upulu wa Punda,"8",8.47922000000,13.63320000000,41.02780000000,-2.08679000000,1.00000000000,"1",18401415.7882,3389361.646
"23","175",Upulu wa Punda,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,Proposed,Gear Restriction,Seychelles MSP Initiative,Undetermined,Overlaps Koyo,"0",3.71833000000,9.72938000000,41.05610000000,-2.06354000000,1.00000000000,"1",18401415.7882,299215.620
"24","176",Shindambe,Kenya,Kenya,No Take Zone,Proposed,Local,LMMA,Proposed,No-take area,,Undetermined,,"4",3.62034000000,7.34848000000,41.13740000000,-2.04855000000,1.00000000000,"1",1277526.6897,1234481.568
"24","176",Shindambe,Kenya,Kenya,No Take Zone,Proposed,Local,LMMA,Proposed,No-take area,,Undetermined,,"4",3.62034000000,7.34848000000,41.13740000000,-2.04855000000,1.00000000000,"1",4974596.9456,35371.688
"26","178",Kiweni,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,Proposed,Gear Restriction,,Undetermined,,"3",3.11326000000,8.41378000000,41.02750000000,-2.05306000000,1.00000000000,"1",7891220.7067,1047644.395
"27","179",Saadani,Kenya,Kenya,Gear Restricion,Proposed,Local,LMMA,Proposed,Gear Restriction,,Undetermined,,"4",3.76957000000,8.24588000000,41.08850000000,-2.01433000000,1.00000000000,"1",7891220.7067,18004.630
