SitRecID,Country,ISO3,NatName,IntName,SitLat,SitLong,SitArea,IbaStatus,AzeStatus,AddedDate,ChangeDate,Source,DelTxt,DelGeom,Shape_Leng,Shape_Area,KBA_Qual,ID,OBJECTID_1,EEZ,Country_2,Sovereign,Remarks,Sov_ID,EEZ_ID,ISO_3digit,MRGID,Date_chang,Area_m2,Longitude,Latitude,area_meters_KBA
"45320",Comoros,COM,Forêt de Moya,Moya Forest,-12.26223724980,44.45907826540,"3486",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","Sketch from Biotope digitized by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.29860146152,0.00289642092,Global/ Regional to be determined,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,34859924.130
"45322",Comoros,COM,Lac Hantsongoma,Hantsongoma Lake,-11.65471624670,43.32688062050,"1122",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.12223676077,0.00093038131,Global/ Regional to be determined,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,11222150.143
"6452",Comoros,COM,Massif de la Grille,La Grille Mountains,-11.47463802990,43.33746903680,"8725",confirmed,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","Natural limit included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.34138557789,0.00722890526,Global,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,87248845.770
"45323",Comoros,COM,Mont Ntringui (Hauts de Ndzuani),Mont Ntringui (Ndzuani highlands),-12.21578253950,44.41297809760,"2650",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","Natural feature included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.27329894965,0.00220131724,Global/ Regional to be determined,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,26498533.228
"45324",Comoros,COM,Récifs coralliens d'Anjouan,Anjouan coral reefs,-12.16835164670,44.46616893950,"2088",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.37338764883,0.00173387969,Global/ Regional to be determined,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,20875301.901
"45325",Comoros,COM,Récifs coralliens de Grande Comore,Grande Comore coral reefs,-11.55744367130,43.39069472620,"7957",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,1.27888086509,0.00659434534,Global/ Regional to be determined,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,79566959.030
"45326",Comoros,COM,Récifs coralliens de Mohéli - hors Parc Marin,Mohéli coral reefs - outside of Marine Park,-12.28270290180,43.73281741830,"3269",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.74164860158,0.00271614515,Global/ Regional to be determined,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,32687733.664
"45327",Comoros,COM,Zone de Bimbini et Ilot de la Selle,Bimbini area and la Selle Islet,-12.18004821300,44.23814514950,"5696",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.63681041023,0.00473083882,Global/ Regional to be determined,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,56955330.641
"45328",Comoros,COM,Zone de Chiroroni,Chiroroni area,-12.38433412630,44.50982126750,"1141",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.16599013237,0.00094868224,Global/ Regional to be determined,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,11412703.358
"45329",Comoros,COM,Zone de Domoni,Domoni area,-12.19260928060,44.52707142890,"4113",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.45354182544,0.00341690080,Global/ Regional to be determined,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,41134711.647
"45330",Comoros,COM,Zone de Malé,Malé area,-11.85666755760,43.50082370870,"1764",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.17892290263,0.00146375626,Global/ Regional to be determined,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,17643042.431
"45331",Comoros,COM,Zone de Moya,Moya area,-12.30965300670,44.42927894620,"1274",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.15367238177,0.00105838402,Global/ Regional to be determined,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,12735962.727
"45332",Comoros,COM,Zone de Mutsamudu,Mutsamudu area,-12.16754883560,44.36558188600,"2257",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.27624143606,0.00187464466,Global/ Regional to be determined,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,22570185.147
"45333",Comoros,COM,Zone de Ndroudé et Ilot aux Tortues,Ndroudé area and Ilot aux Tortues,-11.43589246260,43.41308743850,"2314",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.23553370312,0.00191690075,Global/ Regional to be determined,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,23139011.924
"45334",Comoros,COM,Zone de Pomoni,Pomoni area,-12.26273739340,44.35048570650,"5749",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.34856921223,0.00477666996,Global/ Regional to be determined,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,57489586.229
"45335",Comoros,COM,Zone du Coelacanthe,Coelacanthe area,-11.72791170100,43.24137676080,"68089",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,1.71432784048,0.05646470661,Global/ Regional to be determined,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,680892377.963
"45407",Mayotte (to France),MYT,Parc naturel marin de Mayotte,Mayotte Marine Natural Park,-13.19553347960,45.28566359850,"6836856",,,2016/03/17,,"Gouvernement Francais, Existing PN boundary",,3. draft polygon,12.77750714010,5.70148838710,Global/ Regional to be determined,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,68368561789.667
"6451",Comoros,COM,Massif du Karthala,Karthala Mountains,-11.74579606810,43.33859141620,"14228",confirmed,confirmed,2016/03/17,,http://datazone.birdlife.org/site/factsheet/6451,Same as IBA,3. draft polygon,0.44906916475,0.01179986948,Global,"28","20",Comoran Exclusive Economic Zone,Comoro Islands,Comoro Islands,,"28","28",COM,8334.000000000000000,,165206388800.000000000000000,43.488803782292997,43.488803782292997,142282965.556
