"","species.id","pu","amount","species"
"13677",5,"100000",0.00397903924560547,"Reef Slope"
"20450",7,"100000",0.0204183753662109,"Plateau"
"21678",8,"100000",0.0818029049682617,"Deep Lagoon"
"20451",7,"100001",0.03587081640625,"Plateau"
"21679",8,"100001",0.0993119982910156,"Deep Lagoon"
"13678",5,"100002",0.0165473004760742,"Reef Slope"
"21680",8,"100002",0.180625888000488,"Deep Lagoon"
"3329",2,"100003",0.00386091003417969,"Sheltered Reef Slope"
"7557",3,"100003",0.00245593969726562,"Outer Reef Flat"
"11722",4,"100003",0.00823831079101562,"Back Reef Slope"
"13679",5,"100003",0.247663837524414,"Reef Slope"
"20452",7,"100003",0.0195087817993164,"Plateau"
"21681",8,"100003",0.015597880065918,"Deep Lagoon"
"13680",5,"100004",0.0897767723999023,"Reef Slope"
"20453",7,"100004",0.0462290377197266,"Plateau"
"3330",2,"100005",0.000761756591796875,"Sheltered Reef Slope"
"13681",5,"100005",0.00633272790527344,"Reef Slope"
"20454",7,"100005",0.0198731165161133,"Plateau"
"1",1,"100006",0.00312783288574219,"Inner Reef Flat"
"3331",2,"100006",0.00551951116943359,"Sheltered Reef Slope"
"13682",5,"100006",0.00722885791015625,"Reef Slope"
"20455",7,"100007",0.0194503311767578,"Plateau"
"2",1,"100278",0.0175486358642578,"Inner Reef Flat"
"7558",3,"100278",0.0513946083984375,"Outer Reef Flat"
"24880",9,"100278",0.00044755810546875,"Terrestrial Reef Flat"
"7559",3,"100279",0.0254496592407227,"Outer Reef Flat"
"17458",6,"100279",0.00499182489013672,"Shallow Lagoon"
"24881",9,"100279",0.27581847869873,"Terrestrial Reef Flat"
"17459",6,"100280",0.295115205749512,"Shallow Lagoon"
"24882",9,"100280",0.0111447553100586,"Terrestrial Reef Flat"
"13683",5,"100281",0.111427024902344,"Reef Slope"
"17460",6,"100281",0.194631563232422,"Shallow Lagoon"
"13684",5,"100282",0.0862287330932617,"Reef Slope"
"17461",6,"100282",0.0172872318725586,"Shallow Lagoon"
"21682",8,"100300",0.00689859832763672,"Deep Lagoon"
"13685",5,"100301",0.0160890622558594,"Reef Slope"
"21683",8,"100301",0.0945468633422852,"Deep Lagoon"
"13686",5,"100302",0.00842748455810547,"Reef Slope"
"21684",8,"100302",0.0996853426513672,"Deep Lagoon"
"13687",5,"100303",0.0693058255615234,"Reef Slope"
"21685",8,"100303",0.0114568031616211,"Deep Lagoon"
"13688",5,"100304",0.0929073307495117,"Reef Slope"
"20456",7,"100304",0.0045227177734375,"Plateau"
