"","species.id","pu","amount","species"
"40202",5,"1",0.0625,"Slope"
"1",1,"10",0.0564840817871094,"Basin"
"40203",5,"10",0.0625000000610352,"Slope"
"1795",2,"100",0.0286853723754883,"Shelf"
"21795",4,"100",0.0286853770141602,"Shelf"
"1796",2,"1000",0.0625,"Shelf"
"21796",4,"1000",0.0625,"Shelf"
"40204",5,"10002",0.0625000000610352,"Slope"
"2",1,"10003",0.053947815246582,"Basin"
"40205",5,"10003",0.0624999999389648,"Slope"
"1797",2,"10005",0.0624999999389648,"Shelf"
"21797",4,"10005",0.0624999999389648,"Shelf"
"40206",5,"10006",0.0625,"Slope"
"1798",2,"10007",0.0625,"Shelf"
"21798",4,"10007",0.0625,"Shelf"
"40207",5,"10008",0.0625,"Slope"
"40208",5,"10011",0.0624999999389648,"Slope"
"1799",2,"10012",0.0624999999389648,"Shelf"
"21799",4,"10012",0.0624999999389648,"Shelf"
"40209",5,"10013",0.0625,"Slope"
"40210",5,"10014",0.0625,"Slope"
"40211",5,"10015",0.0625,"Slope"
"40212",5,"10016",0.0624999999389648,"Slope"
"40213",5,"10018",0.0625,"Slope"
"40214",5,"10019",0.0625,"Slope"
"40215",5,"1002",0.0625,"Slope"
"3",1,"10020",0.0625,"Basin"
"40216",5,"10020",0.0625,"Slope"
"1800",2,"10021",0.0625,"Shelf"
"21800",4,"10021",0.0625,"Shelf"
"40217",5,"10023",0.0625,"Slope"
"40218",5,"10025",0.0624999999389648,"Slope"
"40219",5,"10027",0.0625000000610352,"Slope"
"40220",5,"10028",0.0624999999389648,"Slope"
"1801",2,"10029",0.0625,"Shelf"
"21801",4,"10029",0.0625,"Shelf"
"40221",5,"1003",0.0625,"Slope"
"40222",5,"10030",0.0291709127197266,"Slope"
"40223",5,"10031",0.0625,"Slope"
"1802",2,"10032",0.0625,"Shelf"
"21802",4,"10032",0.0625,"Shelf"
"40224",5,"10033",0.0625000000610352,"Slope"
"40225",5,"10034",0.0625000001220703,"Slope"
"40226",5,"10035",0.0625,"Slope"
"1803",2,"10036",0.0625,"Shelf"
"20202",3,"10036",0.0625,"Shelf Valley"
"21803",4,"10036",0.0625,"Shelf"
"1804",2,"10037",0.0624999999389648,"Shelf"
"21804",4,"10037",0.0624999999389648,"Shelf"
"40227",5,"10038",0.0625000000610352,"Slope"
"4",1,"10039",0.0624999999389648,"Basin"
"40228",5,"10039",0.0624999999389648,"Slope"
"40229",5,"1004",0.0625,"Slope"
"40230",5,"10040",0.0624999999389648,"Slope"
"40231",5,"10041",0.0625000000610352,"Slope"
"40232",5,"10042",0.0624999999389648,"Slope"
"40233",5,"10043",0.0624999999389648,"Slope"
"1805",2,"10046",0.0624999999389648,"Shelf"
"21805",4,"10046",0.0624999999389648,"Shelf"
"40234",5,"10047",0.0625,"Slope"
"40235",5,"10049",0.0625,"Slope"
"40236",5,"1005",0.0625,"Slope"
"40237",5,"10050",0.0625,"Slope"
"40238",5,"10051",0.0624999999389648,"Slope"
"40239",5,"10053",0.0625,"Slope"
"1806",2,"10054",0.0625,"Shelf"
"21806",4,"10054",0.0625,"Shelf"
"40240",5,"10055",0.0625000000610352,"Slope"
"40241",5,"10056",0.0625000001220703,"Slope"
"40242",5,"10057",0.0625,"Slope"
"40243",5,"10058",0.0625,"Slope"
"40244",5,"1006",0.0624999998779297,"Slope"
"40245",5,"10060",0.0625000000610352,"Slope"
"40246",5,"10063",0.0625,"Slope"
"1807",2,"10064",0.0624999999389648,"Shelf"
"21807",4,"10064",0.0624999999389648,"Shelf"
"40247",5,"10065",0.0625,"Slope"
"5",1,"10066",0.019156594909668,"Basin"
"40248",5,"10066",0.0625000000610352,"Slope"
"1808",2,"10067",0.0624999999389648,"Shelf"
"20203",3,"10067",0.0624999999389648,"Shelf Valley"
"21808",4,"10067",0.0624999999389648,"Shelf"
"1809",2,"10068",0.0624999998779297,"Shelf"
"21809",4,"10068",0.0624999998779297,"Shelf"
"40249",5,"10069",0.0625,"Slope"
"1810",2,"10070",0.0625,"Shelf"
"21810",4,"10070",0.0625,"Shelf"
"1811",2,"10073",0.0625000000610352,"Shelf"
"21811",4,"10073",0.0625000000610352,"Shelf"
"40250",5,"10074",0.0625000000610352,"Slope"
"1812",2,"10076",0.0625,"Shelf"
"21812",4,"10076",0.0625,"Shelf"
"40251",5,"10077",0.0624999998779297,"Slope"
"40252",5,"10078",0.0625000000610352,"Slope"
"40253",5,"10079",0.0625,"Slope"
"40254",5,"1008",0.0625,"Slope"
"1813",2,"10080",0.0625000000610352,"Shelf"
"21813",4,"10080",0.0625000000610352,"Shelf"
"1814",2,"10081",0.0625,"Shelf"
"21814",4,"10081",0.0625,"Shelf"
"40255",5,"10083",0.0625000000610352,"Slope"
"40256",5,"10085",0.0625,"Slope"
"1815",2,"10086",0.0625000001220703,"Shelf"
"21815",4,"10086",0.0625000001220703,"Shelf"
"1816",2,"10087",0.0625,"Shelf"
"20204",3,"10087",0.0625,"Shelf Valley"
"21816",4,"10087",0.0625,"Shelf"
"40257",5,"10088",0.0625,"Slope"
"40258",5,"1009",0.0625000000610352,"Slope"
"40259",5,"10090",0.0625,"Slope"
"40260",5,"10091",0.0624999999389648,"Slope"
"40261",5,"10092",0.0625,"Slope"
"40262",5,"10093",0.0625000001220703,"Slope"
"40263",5,"10094",0.00835815325927734,"Slope"
"1817",2,"10095",0.0624999999389648,"Shelf"
"21817",4,"10095",0.0624999999389648,"Shelf"
"40264",5,"10096",0.0624999999389648,"Slope"
"40265",5,"10098",0.0625000000610352,"Slope"
"40266",5,"10099",0.0624999999389648,"Slope"
"40267",5,"101",0.0625,"Slope"
"40268",5,"1010",0.0625000000610352,"Slope"
"40269",5,"10100",0.0625000000610352,"Slope"
"40270",5,"10101",0.0625000000610352,"Slope"
"1818",2,"10102",0.0624999999389648,"Shelf"
"21818",4,"10102",0.0624999999389648,"Shelf"
"40271",5,"10104",0.0625,"Slope"
"40272",5,"10105",0.0625,"Slope"
"1819",2,"10106",0.0625000000610352,"Shelf"
"21819",4,"10106",0.0625000000610352,"Shelf"
"1820",2,"10107",0.0624999999389648,"Shelf"
"21820",4,"10107",0.0624999999389648,"Shelf"
