"","X","id","prop","spf","name"
"1",1,1,0.3,1,"Back Reef Slope"
"2",2,2,0.3,1,"Basin"
"3",3,3,0.3,1,"Coral/Algae"
"4",4,4,0.3,1,"Deep Lagoon"
"5",5,5,0.3,1,"Inner Reef Flat"
"6",6,6,0.3,1,"mangrove"
"7",7,7,0.3,1,"Outer Reef Flat"
"8",8,8,0.3,1,"Plateau"
"9",9,9,0.3,1,"Reef Crest"
"10",10,10,0.3,1,"Reef Slope"
"11",11,11,0.3,1,"Seagrass"
"12",12,12,0.3,1,"Shallow Lagoon"
"13",13,13,0.3,1,"Shelf"
"14",14,14,0.3,1,"Shelf Valley"
"15",15,15,0.3,1,"Sheltered Reef Slope"
"16",16,16,0.3,1,"Slope"
"17",17,17,0.3,1,"Terrace"
"18",18,18,0.3,1,"Terrestrial Reef Flat"
